relative Zeit	AI0	AI1
0,00	0,4048	-0,3583
0,02	0,4048	-0,3590
0,04	0,4045	-0,3580
0,06	0,4051	-0,3587
0,08	0,4025	-0,3567
0,10	0,5547	-0,4964
0,12	0,5687	-0,5143
0,14	0,6403	-0,5843
0,16	0,6850	-0,6233
0,18	0,7895	-0,7223
0,20	0,9448	-0,8706
0,22	1,0343	-0,9546
0,24	1,2155	-1,1112
0,26	1,3417	-1,2470
0,28	1,4296	-1,3305
0,30	1,5252	-1,4180
0,32	1,6143	-1,5107
0,34	1,6533	-1,5410
0,36	1,6584	-1,5490
0,38	1,6635	-1,5519
0,40	1,6639	-1,5522
0,42	1,6661	-1,5551
0,44	1,6658	-1,5541
0,46	1,6667	-1,5551
0,48	1,8252	-1,6967
0,50	1,9553	-1,8283
0,52	2,1189	-1,9827
0,54	2,1908	-2,0539
0,56	2,2078	-2,0686
0,58	2,2090	-2,0699
0,60	2,3030	-2,1604
0,62	2,4196	-2,2665
0,64	2,6344	-2,4707
0,66	2,7334	-2,5716
0,68	2,7951	-2,6269
0,70	2,7964	-2,6272
0,72	2,7967	-2,6279
0,74	2,7958	-2,6263
0,76	2,7839	-2,6148
0,78	2,7830	-2,6148
0,80	2,7814	-2,6125
0,82	2,7699	-2,6020
0,84	2,7683	-2,5998
0,86	2,7689	-2,6014
0,88	2,7731	-2,6042
0,90	2,7804	-2,6122
0,92	2,7731	-2,6052
0,94	2,7708	-2,6030
0,96	2,7670	-2,5991
0,98	2,6484	-2,4882
1,00	2,3548	-2,2029
1,02	2,1659	-2,0325
1,04	1,8777	-1,7532
1,06	1,7393	-1,6260
1,08	1,5380	-1,4359
1,10	1,3791	-1,2867
1,12	1,2631	-1,1723
1,14	1,0883	-1,0115
1,16	0,9004	-0,8364
1,18	0,7202	-0,6737
1,20	0,5639	-0,5079
1,22	0,4671	-0,4184
1,24	0,3920	-0,3420
1,26	0,2156	-0,1759
1,28	0,1376	-0,1049
1,30	0,0140	0,0124
1,32	0,0136	0,0124
1,34	0,0133	0,0127
1,36	0,0140	0,0127
1,38	0,0133	0,0127
1,40	0,0130	0,0127
1,42	0,0140	0,0117
1,44	0,0140	0,0127
1,46	0,0136	0,0120
1,48	0,0136	0,0120
1,50	0,0143	0,0127
1,52	0,0136	0,0120
1,54	0,0133	0,0124
1,56	0,0136	0,0124
1,58	0,0140	0,0127
1,60	0,0136	0,0127
1,62	0,0133	0,0120
1,64	0,0143	0,0127
1,66	0,0140	0,0127
1,68	0,0140	0,0124
1,70	0,0136	0,0127
1,72	0,0140	0,0124
1,74	0,0136	0,0124
1,76	0,0140	0,0120
1,78	0,0140	0,0124
1,80	0,0143	0,0124
1,82	0,0136	0,0120
1,84	0,0133	0,0117
1,86	0,0136	0,0124
1,88	0,0136	0,0127
1,90	0,0140	0,0124
1,92	0,0136	0,0127
1,94	0,0143	0,0124
1,96	0,0140	0,0124
1,98	0,0136	0,0124
2,00	0,0140	0,0127
2,02	0,0136	0,0120
2,04	0,0130	0,0120
2,06	0,0140	0,0127
2,08	0,0140	0,0124
2,10	0,0140	0,0127
2,12	0,1459	-0,1132
2,14	0,2779	-0,2388
2,16	0,3904	-0,3462
2,18	0,5390	-0,4849
2,20	0,5978	-0,5450
2,22	0,6675	-0,6054
2,24	0,7892	-0,7262
2,26	0,9327	-0,8559
2,28	1,0660	-0,9831
2,30	1,0950	-1,0122
2,32	1,2155	-1,1282
2,34	1,3379	-1,2362
2,36	1,4232	-1,3221
2,38	1,5300	-1,4260
2,40	1,6556	-1,5442
2,42	1,7610	-1,6414
2,44	1,8137	-1,6954
2,46	1,9106	-1,7868
2,48	1,9991	-1,8718
2,50	2,1701	-2,0303
2,52	2,2225	-2,0786
2,54	2,2918	-2,1482
2,56	2,3567	-2,2109
2,58	2,4292	-2,2716
2,60	2,4765	-2,3205
2,62	2,6248	-2,4627
2,64	2,6746	-2,5112
2,66	2,7232	-2,5560
2,68	2,7421	-2,5748
2,70	2,7843	-2,6157
2,72	2,8824	-2,7113
2,74	2,9335	-2,7637
2,76	3,0402	-2,8557
2,78	3,1109	-2,9225
2,80	3,1626	-2,9679
2,82	3,1879	-3,0008
2,84	3,2655	-3,0759
2,86	3,3381	-3,1369
2,88	3,3540	-3,1577
2,90	3,4541	-3,2517
2,92	3,5627	-3,3552
2,94	3,5685	-3,3600
2,96	3,5694	-3,3613
2,98	3,5685	-3,3606
3,00	3,5694	-3,3613
3,02	3,5720	-3,3642
3,04	3,5707	-3,3632
3,06	3,5720	-3,3635
3,08	3,5739	-3,3661
3,10	3,5726	-3,3651
3,12	3,5682	-3,3606
3,14	3,5889	-3,3859
3,16	3,5640	-3,3574
3,18	3,5729	-3,3642
3,20	3,5701	-3,3622
3,22	3,5576	-3,3491
3,24	3,3294	-3,1325
3,26	3,2626	-3,0673
3,28	3,1201	-2,9321
3,30	3,0409	-2,8615
3,32	2,8884	-2,7116
3,34	2,7334	-2,5665
3,36	2,5996	-2,4403
3,38	2,3346	-2,1894
3,40	2,0473	-1,9354
3,42	1,8470	-1,7270
3,44	1,7402	-1,6254
3,46	1,6792	-1,5688
3,48	1,5440	-1,4388
3,50	1,4383	-1,3365
3,52	1,2813	-1,1914
3,54	1,1388	-1,0467
3,56	0,9656	-0,8914
3,58	0,7553	-0,6891
3,60	0,6579	-0,5977
3,62	0,6445	-0,5859
3,64	0,5991	-0,5459
3,66	0,5361	-0,4849
3,68	0,3994	-0,3532
3,70	0,3163	-0,2721
3,72	0,3102	-0,2695
3,74	0,3086	-0,2676
3,76	0,3096	-0,2676
3,78	0,3099	-0,2689
3,80	0,3108	-0,2698
3,82	0,2456	-0,2107
3,84	0,1878	-0,1576
3,86	0,1456	-0,1129
3,88	0,1447	-0,1123
3,90	0,1450	-0,1123
3,92	0,1443	-0,1113
3,94	0,1450	-0,1116
3,96	0,1443	-0,1113
3,98	0,1453	-0,1126
4,00	0,1447	-0,1107
4,02	0,1440	-0,1113
